iter	Passed	Remaining
408	4396	6352
409	4430	6375
410	4434	6355
411	4444	6343
412	4458	6336
413	4462	6316
414	4468	6298
415	4530	6359
416	4544	6354
417	4547	6332
418	4550	6310
419	4571	6313
420	4584	6304
421	4588	6284
422	4608	6286
423	4637	6299
424	4641	6279
425	4644	6257
426	4646	6235
427	4651	6216
428	4661	6204
429	4673	6194
430	4677	6175
431	4686	6162
432	4715	6175
433	4730	6168
434	4733	6148
435	4738	6129
436	4773	6149
437	4775	6127
438	4778	6105
439	4802	6112
440	4804	6090
441	4808	6070
442	4846	6094
443	4877	6108
444	4881	6088
445	4885	6068
446	4890	6050
447	4900	6038
448	4904	6018
449	4927	6022
450	4941	6015
451	4956	6008
452	4959	5988
453	4968	5975
454	4971	5954
455	4982	5943
456	4998	5939
457	5001	5918
458	5004	5898
459	5007	5878
460	5042	5895
461	5045	5875
462	5047	5854
463	5054	5839
464	5057	5818
465	5059	5798
466	5063	5778
467	5067	5760
468	5069	5739
469	5071	5718
470	5074	5698
471	5091	5695
472	5093	5675
473	5096	5656
474	5099	5636
475	5118	5634
476	5122	5616
477	5125	5597
478	5128	5578
479	5132	5560
480	5136	5542
481	5139	5523
482	5142	5504
483	5147	5487
484	5152	5471
485	5156	5453
486	5163	5439
487	5166	5420
488	5171	5403
489	5173	5384
490	5207	5398
491	5237	5408
492	5268	5417
493	5270	5398
494	5273	5379
495	5275	5360
496	5279	5343
497	5283	5326
498	5287	5308
499	5301	5301
500	5304	5283
501	5307	5265
502	5315	5251
503	5317	5233
504	5323	5217
505	5336	5210
506	5355	5207
507	5366	5197
508	5372	5182
509	5413	5200
510	5421	5187
511	5430	5176
512	5457	5181
513	5461	5164
514	5464	5146
515	5468	5129
516	5473	5113
517	5477	5096
518	5498	5096
519	5501	5078
520	5504	5061
521	5522	5056
522	5551	5063
523	5565	5055
524	5568	5037
525	5595	5042
526	5598	5024
527	5610	5015
528	5639	5021
529	5654	5014
530	5685	5021
531	5687	5003
532	5713	5005
533	5715	4987
534	5718	4970
535	5721	4953
536	5773	4977
537	5788	4970
538	5791	4953
539	5794	4935
540	5828	4945
541	5843	4937
542	5846	4920
543	5857	4910
544	5861	4893
545	5868	4879
546	5873	4863
547	5876	4847
548	5880	4830
549	5883	4813
550	5886	4797
551	5891	4781
552	5923	4787
553	5928	4773
554	5933	4757
555	5955	4756
556	5984	4759
557	5997	4751
558	6026	4754
559	6040	4746
560	6046	4731
561	6051	4715
562	6056	4700
563	6061	4686
564	6065	4670
565	6070	4654
566	6076	4640
567	6096	4636
568	6099	4620
569	6125	4620
570	6155	4624
571	6159	4609
572	6203	4622
573	6215	4613
574	6242	4614
575	6270	4615
576	6273	4599
577	6297	4597
578	6300	4581
579	6304	4565
580	6310	4550
581	6315	4535
582	6332	4529
583	6348	4521
584	6351	4505
585	6355	4489
586	6360	4475
587	6387	4475
588	6390	4459
589	6393	4442
590	6413	4438
591	6442	4440
592	6473	4442
593	6475	4426
594	6479	4410
595	6482	4393
596	6485	4378
597	6490	4363
598	6496	4348
599	6507	4338
600	6524	4331
601	6553	4332
602	6564	4321
603	6566	4305
604	6591	4303
605	6607	4296
606	6610	4280
607	6613	4264
608	6617	4248
609	6647	4249
610	6649	4233
611	6661	4223
612	6675	4214
613	6678	4198
614	6690	4188
615	6693	4172
616	6702	4160
617	6747	4170
618	6778	4172
619	6793	4163
620	6795	4147
621	6798	4131
622	6802	4116
623	6807	4101
624	6816	4089
625	6859	4098
626	6862	4082
627	6873	4071
628	6877	4056
629	6885	4043
630	6914	4043
631	6929	4034
632	6932	4019
633	6935	4004
634	6952	3996
635	6967	3987
636	6983	3979
637	6985	3963
638	6988	3948
639	6992	3933
640	6995	3918
641	6998	3902
642	7034	3905
643	7050	3897
644	7077	3895
645	7092	3886
646	7094	3870
647	7098	3856
648	7102	3841
649	7104	3825
650	7117	3815
651	7132	3806
652	7135	3791
653	7138	3776
654	7206	3795
655	7220	3786
656	7223	3771
657	7226	3756
658	7229	3740
659	7232	3725
660	7235	3710
661	7258	3706
662	7302	3712
663	7317	3702
664	7320	3687
665	7323	3672
666	7327	3658
667	7330	3643
668	7332	3628
669	7336	3613
670	7340	3599
671	7355	3590
672	7358	3575
673	7360	3560
674	7363	3545
675	7382	3538
676	7385	3523
677	7387	3508
678	7390	3493
679	7409	3486
680	7412	3472
681	7415	3457
682	7418	3442
683	7452	3443
684	7456	3428
685	7459	3414
686	7461	3399
687	7479	3391
688	7494	3382
689	7509	3373
690	7524	3364
691	7527	3350
692	7531	3336
693	7534	3321
694	7536	3307
695	7565	3304
696	7568	3290
697	7579	3279
698	7582	3265
699	7607	3260
700	7610	3246
701	7613	3232
702	7617	3218
